Tenant_ID,Full_Name,Age_Group,Occupation,Budget(minimum),Budget(Maximum),Inspection_Count,Has_Active_Application
TNT00057,Tenant_57,46 - 60,Banker,300000,500000,3,FALSE
TNT00058,Tenant_58,18 - 25,Civil Servant,200000,300000,3,FALSE
TNT00059,Tenant_59,26 - 35,Banker,200000,300000,5,TRUE
TNT00060,Tenant_60,18 - 25,Banker,200000,300000,3,FALSE
TNT00061,Tenant_61,46 - 60,Banker,150000,200000,0,TRUE
TNT00062,Tenant_62,36 - 45,Freelancer,150000,200000,4,FALSE
TNT00063,Tenant_63,18 - 25,Banker,100000,150000,1,TRUE
TNT00064,Tenant_64,36 - 45,Civil Servant,100000,150000,5,TRUE
TNT00065,Tenant_65,26 - 35,Student,100000,150000,5,TRUE
TNT00066,Tenant_66,46 - 60,Trader,100000,150000,5,FALSE
TNT00067,Tenant_67,36 - 45,Banker,200000,300000,4,TRUE
TNT00068,Tenant_68,26 - 35,Civil Servant,300000,500000,2,FALSE
TNT00069,Tenant_69,46 - 60,Trader,100000,150000,1,TRUE
TNT00070,Tenant_70,46 - 60,Engineer,150000,200000,5,TRUE
TNT00071,Tenant_71,36 - 45,Student,100000,150000,2,FALSE
TNT00072,Tenant_72,36 - 45,Engineer,150000,200000,2,FALSE
TNT00073,Tenant_73,36 - 45,Civil Servant,300000,500000,3,FALSE
TNT00074,Tenant_74,46 - 60,Banker,200000,300000,5,FALSE
TNT00075,Tenant_75,46 - 60,Freelancer,300000,500000,0,TRUE
TNT00076,Tenant_76,46 - 60,Civil Servant,300000,500000,4,TRUE
TNT00077,Tenant_77,36 - 45,Freelancer,200000,300000,5,FALSE
TNT00078,Tenant_78,36 - 45,Civil Servant,150000,200000,2,FALSE
TNT00079,Tenant_79,26 - 35,Student,300000,500000,5,FALSE
TNT00080,Tenant_80,18 - 25,Banker,200000,300000,3,FALSE
TNT00081,Tenant_81,26 - 35,Banker,150000,200000,0,FALSE
TNT00082,Tenant_82,18 - 25,Banker,150000,200000,1,TRUE
TNT00083,Tenant_83,26 - 35,Banker,150000,200000,2,FALSE
TNT00084,Tenant_84,36 - 45,Civil Servant,200000,300000,5,TRUE
TNT00085,Tenant_85,46 - 60,Student,100000,150000,3,FALSE
TNT00086,Tenant_86,18 - 25,Student,200000,300000,5,FALSE
TNT00087,Tenant_87,46 - 60,Student,300000,500000,5,FALSE
TNT00088,Tenant_88,18 - 25,Civil Servant,200000,300000,5,TRUE
TNT00089,Tenant_89,46 - 60,Freelancer,200000,300000,5,FALSE
TNT00090,Tenant_90,26 - 35,Banker,300000,500000,3,FALSE
TNT00091,Tenant_91,46 - 60,Civil Servant,200000,300000,3,FALSE
TNT00092,Tenant_92,18 - 25,Engineer,200000,300000,1,FALSE
TNT00093,Tenant_93,36 - 45,Trader,300000,500000,0,TRUE
TNT00094,Tenant_94,18 - 25,Student,100000,150000,4,TRUE
TNT00095,Tenant_95,46 - 60,Student,100000,150000,4,FALSE
TNT00096,Tenant_96,26 - 35,Civil Servant,150000,200000,2,FALSE
TNT00097,Tenant_97,18 - 25,Freelancer,100000,150000,0,TRUE
TNT00098,Tenant_98,26 - 35,Freelancer,200000,300000,2,FALSE
TNT00099,Tenant_99,36 - 45,Trader,300000,500000,4,FALSE
TNT00100,Tenant_100,26 - 35,Freelancer,150000,200000,1,TRUE
TNT00101,Tenant_101,26 - 35,Civil Servant,200000,300000,5,FALSE
TNT00102,Tenant_102,18 - 25,Student,150000,200000,0,FALSE
TNT00103,Tenant_103,26 - 35,Banker,300000,500000,0,TRUE
TNT00104,Tenant_104,26 - 35,Banker,200000,300000,2,FALSE
TNT00105,Tenant_105,26 - 35,Freelancer,150000,200000,2,TRUE
TNT00106,Tenant_106,46 - 60,Trader,150000,200000,1,TRUE
TNT00107,Tenant_107,26 - 35,Banker,100000,150000,0,TRUE
TNT00108,Tenant_108,26 - 35,Student,150000,200000,4,FALSE
TNT00109,Tenant_109,26 - 35,Banker,100000,150000,4,FALSE
TNT00110,Tenant_110,18 - 25,Trader,100000,150000,3,TRUE
TNT00111,Tenant_111,18 - 25,Freelancer,300000,500000,4,FALSE
TNT00112,Tenant_112,26 - 35,Engineer,100000,150000,5,FALSE
TNT00113,Tenant_113,26 - 35,Civil Servant,150000,200000,5,FALSE
TNT00114,Tenant_114,46 - 60,Banker,100000,150000,3,FALSE
TNT00115,Tenant_115,26 - 35,Student,100000,150000,3,FALSE
TNT00116,Tenant_116,36 - 45,Trader,150000,200000,2,FALSE
TNT00117,Tenant_117,26 - 35,Banker,300000,500000,4,FALSE
TNT00118,Tenant_118,18 - 25,Engineer,300000,500000,3,FALSE
TNT00119,Tenant_119,18 - 25,Freelancer,150000,200000,4,FALSE
TNT00120,Tenant_120,26 - 35,Banker,200000,300000,4,FALSE
TNT00121,Tenant_121,18 - 25,Trader,200000,300000,4,FALSE
TNT00122,Tenant_122,46 - 60,Banker,150000,200000,1,TRUE
TNT00123,Tenant_123,18 - 25,Freelancer,100000,150000,3,TRUE
TNT00124,Tenant_124,36 - 45,Trader,150000,200000,5,TRUE
TNT00125,Tenant_125,26 - 35,Civil Servant,150000,200000,4,TRUE
TNT00126,Tenant_126,18 - 25,Engineer,200000,300000,2,FALSE
TNT00127,Tenant_127,18 - 25,Student,200000,300000,1,FALSE
TNT00128,Tenant_128,26 - 35,Civil Servant,150000,200000,3,FALSE
TNT00129,Tenant_129,18 - 25,Freelancer,100000,150000,0,FALSE
TNT00130,Tenant_130,36 - 45,Banker,300000,500000,3,FALSE
TNT00131,Tenant_131,26 - 35,Engineer,150000,200000,1,TRUE
TNT00132,Tenant_132,18 - 25,Trader,150000,200000,2,TRUE
TNT00133,Tenant_133,46 - 60,Civil Servant,300000,500000,1,FALSE
TNT00134,Tenant_134,46 - 60,Trader,200000,300000,4,TRUE
TNT00135,Tenant_135,26 - 35,Trader,100000,150000,5,TRUE
TNT00136,Tenant_136,18 - 25,Banker,200000,300000,5,FALSE
TNT00137,Tenant_137,46 - 60,Civil Servant,300000,500000,1,FALSE
TNT00138,Tenant_138,36 - 45,Freelancer,300000,500000,0,FALSE
TNT00139,Tenant_139,18 - 25,Civil Servant,300000,500000,0,FALSE
TNT00140,Tenant_140,36 - 45,Engineer,300000,500000,4,FALSE
TNT00141,Tenant_141,46 - 60,Trader,100000,150000,4,FALSE
TNT00142,Tenant_142,26 - 35,Student,150000,200000,0,TRUE
TNT00143,Tenant_143,36 - 45,Freelancer,150000,200000,5,FALSE
TNT00144,Tenant_144,46 - 60,Engineer,300000,500000,2,FALSE
TNT00145,Tenant_145,26 - 35,Engineer,100000,150000,5,FALSE
TNT00146,Tenant_146,18 - 25,Trader,300000,500000,5,TRUE
TNT00147,Tenant_147,46 - 60,Student,100000,150000,1,FALSE
TNT00148,Tenant_148,46 - 60,Trader,150000,200000,0,FALSE
TNT00149,Tenant_149,18 - 25,Freelancer,100000,150000,4,FALSE
TNT00150,Tenant_150,18 - 25,Banker,150000,200000,4,TRUE
TNT00151,Tenant_151,18 - 25,Freelancer,100000,150000,2,FALSE
TNT00152,Tenant_152,26 - 35,Student,200000,300000,3,TRUE
TNT00153,Tenant_153,26 - 35,Banker,100000,150000,4,FALSE
TNT00154,Tenant_154,18 - 25,Civil Servant,300000,500000,2,TRUE
TNT00155,Tenant_155,26 - 35,Civil Servant,200000,300000,0,FALSE
TNT00156,Tenant_156,46 - 60,Engineer,200000,300000,3,TRUE
TNT00157,Tenant_157,26 - 35,Trader,200000,300000,0,FALSE
TNT00158,Tenant_158,46 - 60,Civil Servant,200000,300000,2,FALSE
TNT00159,Tenant_159,46 - 60,Freelancer,200000,300000,0,FALSE
TNT00160,Tenant_160,26 - 35,Trader,200000,300000,1,TRUE
TNT00161,Tenant_161,18 - 25,Freelancer,200000,300000,2,TRUE
TNT00162,Tenant_162,36 - 45,Trader,100000,150000,3,TRUE
TNT00163,Tenant_163,36 - 45,Civil Servant,300000,500000,4,FALSE
TNT00164,Tenant_164,26 - 35,Banker,100000,150000,0,TRUE
TNT00165,Tenant_165,46 - 60,Trader,200000,300000,2,TRUE
TNT00166,Tenant_166,36 - 45,Student,200000,300000,0,TRUE
TNT00167,Tenant_167,46 - 60,Student,200000,300000,5,FALSE
TNT00168,Tenant_168,46 - 60,Civil Servant,100000,150000,2,FALSE
TNT00169,Tenant_169,46 - 60,Trader,300000,500000,5,FALSE
TNT00170,Tenant_170,46 - 60,Civil Servant,300000,500000,2,FALSE
TNT00171,Tenant_171,36 - 45,Engineer,100000,150000,5,FALSE
TNT00172,Tenant_172,26 - 35,Student,150000,200000,3,FALSE
TNT00173,Tenant_173,26 - 35,Freelancer,150000,200000,0,FALSE
TNT00174,Tenant_174,46 - 60,Civil Servant,300000,500000,0,TRUE
TNT00175,Tenant_175,46 - 60,Trader,150000,200000,2,TRUE
TNT00176,Tenant_176,26 - 35,Trader,100000,150000,1,FALSE
TNT00177,Tenant_177,18 - 25,Student,300000,500000,4,FALSE
TNT00178,Tenant_178,46 - 60,Engineer,300000,500000,4,FALSE
TNT00179,Tenant_179,36 - 45,Freelancer,100000,150000,1,FALSE
TNT00180,Tenant_180,36 - 45,Student,100000,150000,3,FALSE
TNT00181,Tenant_181,46 - 60,Student,100000,150000,5,FALSE
TNT00182,Tenant_182,46 - 60,Civil Servant,200000,300000,1,FALSE
TNT00183,Tenant_183,26 - 35,Banker,150000,200000,5,TRUE
TNT00184,Tenant_184,18 - 25,Civil Servant,150000,200000,1,TRUE
TNT00185,Tenant_185,26 - 35,Student,300000,500000,3,TRUE
TNT00186,Tenant_186,18 - 25,Freelancer,150000,200000,2,TRUE
TNT00187,Tenant_187,36 - 45,Banker,300000,500000,5,TRUE
TNT00188,Tenant_188,26 - 35,Engineer,300000,500000,0,TRUE
TNT00189,Tenant_189,26 - 35,Engineer,200000,300000,5,TRUE
TNT00190,Tenant_190,46 - 60,Student,300000,500000,5,FALSE
TNT00191,Tenant_191,46 - 60,Freelancer,200000,300000,4,FALSE
TNT00192,Tenant_192,36 - 45,Engineer,150000,200000,5,FALSE
TNT00193,Tenant_193,18 - 25,Freelancer,200000,300000,4,TRUE
TNT00194,Tenant_194,18 - 25,Civil Servant,100000,150000,4,FALSE
TNT00195,Tenant_195,36 - 45,Civil Servant,200000,300000,1,TRUE
TNT00196,Tenant_196,18 - 25,Freelancer,300000,500000,2,FALSE
TNT00197,Tenant_197,46 - 60,Banker,150000,200000,2,TRUE
TNT00198,Tenant_198,36 - 45,Student,300000,500000,5,FALSE
TNT00199,Tenant_199,46 - 60,Freelancer,150000,200000,1,TRUE
TNT00200,Tenant_200,36 - 45,Freelancer,300000,500000,3,FALSE
TNT00201,Tenant_201,36 - 45,Civil Servant,200000,300000,3,FALSE
TNT00202,Tenant_202,18 - 25,Freelancer,300000,500000,2,FALSE
TNT00203,Tenant_203,26 - 35,Student,100000,150000,1,FALSE
TNT00204,Tenant_204,36 - 45,Banker,100000,150000,5,TRUE
TNT00205,Tenant_205,18 - 25,Civil Servant,150000,200000,4,TRUE
TNT00206,Tenant_206,36 - 45,Freelancer,150000,200000,0,TRUE
TNT00207,Tenant_207,18 - 25,Trader,200000,300000,2,FALSE
TNT00208,Tenant_208,36 - 45,Civil Servant,300000,500000,4,TRUE
TNT00209,Tenant_209,18 - 25,Banker,100000,150000,2,FALSE
TNT00210,Tenant_210,36 - 45,Student,200000,300000,0,FALSE
TNT00211,Tenant_211,36 - 45,Engineer,150000,200000,5,FALSE
TNT00212,Tenant_212,36 - 45,Freelancer,200000,300000,3,TRUE
TNT00213,Tenant_213,18 - 25,Trader,150000,200000,2,FALSE
TNT00214,Tenant_214,26 - 35,Engineer,150000,200000,5,TRUE
TNT00215,Tenant_215,36 - 45,Civil Servant,200000,300000,1,FALSE
TNT00216,Tenant_216,18 - 25,Engineer,300000,500000,3,FALSE
TNT00217,Tenant_217,46 - 60,Freelancer,200000,300000,3,FALSE
TNT00218,Tenant_218,18 - 25,Freelancer,150000,200000,4,FALSE
TNT00219,Tenant_219,18 - 25,Engineer,100000,150000,1,FALSE
TNT00220,Tenant_220,26 - 35,Trader,300000,500000,5,FALSE
TNT00221,Tenant_221,46 - 60,Banker,300000,500000,2,FALSE
TNT00222,Tenant_222,46 - 60,Freelancer,100000,150000,2,TRUE
TNT00223,Tenant_223,26 - 35,Freelancer,300000,500000,1,TRUE
TNT00224,Tenant_224,26 - 35,Student,150000,200000,3,FALSE
TNT00225,Tenant_225,36 - 45,Freelancer,200000,300000,2,FALSE
TNT00226,Tenant_226,36 - 45,Student,150000,200000,2,TRUE
TNT00227,Tenant_227,18 - 25,Engineer,300000,500000,2,FALSE
TNT00228,Tenant_228,18 - 25,Trader,100000,150000,0,FALSE
TNT00229,Tenant_229,36 - 45,Student,300000,500000,1,FALSE
TNT00230,Tenant_230,46 - 60,Student,150000,200000,0,TRUE
TNT00231,Tenant_231,18 - 25,Banker,300000,500000,0,FALSE
TNT00232,Tenant_232,18 - 25,Engineer,300000,500000,4,FALSE
TNT00233,Tenant_233,26 - 35,Student,150000,200000,2,FALSE
TNT00234,Tenant_234,36 - 45,Student,300000,500000,0,FALSE
TNT00235,Tenant_235,26 - 35,Engineer,150000,200000,1,FALSE
TNT00236,Tenant_236,18 - 25,Freelancer,100000,150000,4,FALSE
TNT00237,Tenant_237,36 - 45,Trader,300000,500000,4,TRUE
TNT00238,Tenant_238,46 - 60,Civil Servant,100000,150000,5,FALSE
TNT00239,Tenant_239,46 - 60,Civil Servant,200000,300000,3,FALSE
TNT00240,Tenant_240,26 - 35,Engineer,300000,500000,3,FALSE
TNT00241,Tenant_241,36 - 45,Civil Servant,200000,300000,4,FALSE
TNT00242,Tenant_242,18 - 25,Banker,100000,150000,1,FALSE
TNT00243,Tenant_243,46 - 60,Civil Servant,100000,150000,0,TRUE
TNT00244,Tenant_244,46 - 60,Banker,150000,200000,3,FALSE
TNT00245,Tenant_245,46 - 60,Trader,200000,300000,0,TRUE
TNT00246,Tenant_246,18 - 25,Banker,200000,300000,1,FALSE
TNT00247,Tenant_247,18 - 25,Engineer,150000,200000,0,FALSE
TNT00248,Tenant_248,46 - 60,Freelancer,200000,300000,4,TRUE
TNT00249,Tenant_249,36 - 45,Civil Servant,100000,150000,3,FALSE
TNT00250,Tenant_250,36 - 45,Banker,100000,150000,1,FALSE
TNT00251,Tenant_251,26 - 35,Engineer,100000,150000,4,TRUE
TNT00252,Tenant_252,36 - 45,Banker,100000,150000,1,TRUE
TNT00253,Tenant_253,26 - 35,Student,300000,500000,5,FALSE
TNT00254,Tenant_254,26 - 35,Student,150000,200000,3,FALSE
TNT00255,Tenant_255,46 - 60,Freelancer,300000,500000,0,FALSE
TNT00256,Tenant_256,26 - 35,Civil Servant,300000,500000,1,FALSE
TNT00257,Tenant_257,36 - 45,Student,200000,300000,3,TRUE
TNT00258,Tenant_258,36 - 45,Student,150000,200000,5,FALSE
TNT00259,Tenant_259,36 - 45,Banker,300000,500000,5,FALSE
TNT00260,Tenant_260,46 - 60,Banker,300000,500000,4,TRUE
TNT00261,Tenant_261,26 - 35,Trader,150000,200000,3,FALSE
TNT00262,Tenant_262,18 - 25,Freelancer,100000,150000,0,FALSE
TNT00263,Tenant_263,26 - 35,Student,150000,200000,3,FALSE
TNT00264,Tenant_264,26 - 35,Trader,150000,200000,4,FALSE
TNT00265,Tenant_265,46 - 60,Banker,150000,200000,4,FALSE
TNT00266,Tenant_266,26 - 35,Civil Servant,100000,150000,1,TRUE
TNT00267,Tenant_267,36 - 45,Trader,150000,200000,4,FALSE
TNT00268,Tenant_268,26 - 35,Student,100000,150000,2,FALSE
TNT00269,Tenant_269,46 - 60,Trader,300000,500000,4,TRUE
TNT00270,Tenant_270,26 - 35,Engineer,300000,500000,0,FALSE
TNT00271,Tenant_271,46 - 60,Freelancer,100000,150000,4,TRUE
TNT00272,Tenant_272,46 - 60,Student,200000,300000,1,TRUE
TNT00273,Tenant_273,46 - 60,Engineer,150000,200000,4,TRUE
TNT00274,Tenant_274,26 - 35,Civil Servant,300000,500000,3,TRUE
TNT00275,Tenant_275,18 - 25,Trader,300000,500000,5,TRUE
TNT00276,Tenant_276,46 - 60,Civil Servant,100000,150000,5,FALSE
TNT00277,Tenant_277,46 - 60,Student,200000,300000,3,FALSE
TNT00278,Tenant_278,36 - 45,Trader,200000,300000,3,TRUE
TNT00279,Tenant_279,46 - 60,Freelancer,200000,300000,2,FALSE
TNT00280,Tenant_280,26 - 35,Civil Servant,100000,150000,1,FALSE
TNT00281,Tenant_281,26 - 35,Civil Servant,100000,150000,3,FALSE
TNT00282,Tenant_282,18 - 25,Freelancer,150000,200000,3,TRUE
TNT00283,Tenant_283,36 - 45,Banker,300000,500000,5,FALSE
TNT00284,Tenant_284,46 - 60,Engineer,300000,500000,3,TRUE
TNT00285,Tenant_285,26 - 35,Freelancer,100000,150000,5,TRUE
TNT00286,Tenant_286,36 - 45,Engineer,300000,500000,5,FALSE
TNT00287,Tenant_287,26 - 35,Trader,150000,200000,1,FALSE
TNT00288,Tenant_288,46 - 60,Engineer,100000,150000,5,TRUE
TNT00289,Tenant_289,26 - 35,Civil Servant,300000,500000,3,FALSE
TNT00290,Tenant_290,36 - 45,Student,200000,300000,2,TRUE
TNT00291,Tenant_291,18 - 25,Banker,100000,150000,3,TRUE
TNT00292,Tenant_292,46 - 60,Engineer,300000,500000,0,FALSE
TNT00293,Tenant_293,26 - 35,Engineer,300000,500000,2,FALSE
TNT00294,Tenant_294,36 - 45,Freelancer,150000,200000,0,FALSE
TNT00295,Tenant_295,26 - 35,Student,150000,200000,3,FALSE
TNT00296,Tenant_296,26 - 35,Freelancer,200000,300000,3,FALSE
TNT00297,Tenant_297,18 - 25,Engineer,200000,300000,1,TRUE
TNT00298,Tenant_298,18 - 25,Trader,200000,300000,5,FALSE
TNT00299,Tenant_299,46 - 60,Freelancer,150000,200000,0,TRUE
TNT00300,Tenant_300,46 - 60,Freelancer,300000,500000,0,FALSE
TNT00301,Tenant_301,46 - 60,Student,100000,150000,4,FALSE
TNT00302,Tenant_302,46 - 60,Civil Servant,100000,150000,4,FALSE
TNT00303,Tenant_303,36 - 45,Freelancer,150000,200000,4,FALSE
TNT00304,Tenant_304,46 - 60,Freelancer,150000,200000,4,FALSE
TNT00305,Tenant_305,46 - 60,Banker,150000,200000,0,FALSE
TNT00306,Tenant_306,26 - 35,Engineer,150000,200000,1,TRUE
TNT00307,Tenant_307,26 - 35,Student,100000,150000,4,FALSE
TNT00308,Tenant_308,36 - 45,Freelancer,200000,300000,0,FALSE
TNT00309,Tenant_309,26 - 35,Civil Servant,100000,150000,1,FALSE
TNT00310,Tenant_310,26 - 35,Civil Servant,150000,200000,1,FALSE
TNT00311,Tenant_311,36 - 45,Engineer,200000,300000,4,TRUE
TNT00312,Tenant_312,18 - 25,Student,100000,150000,0,FALSE
TNT00313,Tenant_313,26 - 35,Civil Servant,150000,200000,2,FALSE
TNT00314,Tenant_314,18 - 25,Freelancer,150000,200000,0,FALSE
TNT00315,Tenant_315,18 - 25,Trader,300000,500000,1,FALSE
TNT00316,Tenant_316,18 - 25,Civil Servant,300000,500000,3,FALSE
TNT00317,Tenant_317,36 - 45,Banker,150000,200000,4,TRUE
TNT00318,Tenant_318,46 - 60,Student,100000,150000,1,FALSE
TNT00319,Tenant_319,36 - 45,Trader,300000,500000,2,FALSE
TNT00320,Tenant_320,36 - 45,Student,100000,150000,2,TRUE
TNT00321,Tenant_321,46 - 60,Student,100000,150000,2,TRUE
TNT00322,Tenant_322,18 - 25,Banker,300000,500000,2,TRUE
TNT00323,Tenant_323,46 - 60,Trader,150000,200000,5,TRUE
TNT00324,Tenant_324,18 - 25,Freelancer,300000,500000,0,TRUE
TNT00325,Tenant_325,46 - 60,Engineer,100000,150000,1,FALSE
TNT00326,Tenant_326,18 - 25,Trader,200000,300000,2,FALSE
TNT00327,Tenant_327,26 - 35,Civil Servant,300000,500000,1,FALSE
TNT00328,Tenant_328,18 - 25,Student,200000,300000,1,TRUE
TNT00329,Tenant_329,46 - 60,Civil Servant,150000,200000,3,TRUE
TNT00330,Tenant_330,26 - 35,Trader,300000,500000,0,FALSE
TNT00331,Tenant_331,18 - 25,Engineer,200000,300000,3,FALSE
TNT00332,Tenant_332,26 - 35,Civil Servant,150000,200000,4,FALSE
TNT00333,Tenant_333,26 - 35,Trader,100000,150000,4,FALSE
TNT00334,Tenant_334,36 - 45,Engineer,150000,200000,5,FALSE
TNT00335,Tenant_335,46 - 60,Banker,150000,200000,4,TRUE
TNT00336,Tenant_336,36 - 45,Student,100000,150000,3,TRUE
TNT00337,Tenant_337,46 - 60,Freelancer,150000,200000,1,TRUE
TNT00338,Tenant_338,18 - 25,Trader,300000,500000,5,TRUE
TNT00339,Tenant_339,36 - 45,Banker,150000,200000,4,FALSE
TNT00340,Tenant_340,26 - 35,Civil Servant,200000,300000,5,FALSE
TNT00341,Tenant_341,36 - 45,Trader,150000,200000,4,FALSE
TNT00342,Tenant_342,36 - 45,Banker,200000,300000,3,FALSE
TNT00343,Tenant_343,26 - 35,Engineer,150000,200000,1,TRUE
TNT00344,Tenant_344,46 - 60,Banker,300000,500000,4,FALSE
TNT00345,Tenant_345,18 - 25,Civil Servant,100000,150000,0,FALSE
TNT00346,Tenant_346,18 - 25,Civil Servant,100000,150000,4,TRUE
TNT00347,Tenant_347,26 - 35,Engineer,200000,300000,3,FALSE
TNT00348,Tenant_348,46 - 60,Banker,150000,200000,3,TRUE
TNT00349,Tenant_349,46 - 60,Trader,150000,200000,0,FALSE
TNT00350,Tenant_350,36 - 45,Freelancer,300000,500000,1,FALSE
TNT00351,Tenant_351,18 - 25,Student,150000,200000,0,FALSE
TNT00352,Tenant_352,46 - 60,Civil Servant,200000,300000,5,FALSE
TNT00353,Tenant_353,26 - 35,Freelancer,200000,300000,4,FALSE
TNT00354,Tenant_354,18 - 25,Banker,300000,500000,3,TRUE
TNT00355,Tenant_355,26 - 35,Engineer,200000,300000,1,FALSE
TNT00356,Tenant_356,46 - 60,Civil Servant,200000,300000,4,FALSE
TNT00357,Tenant_357,36 - 45,Civil Servant,300000,500000,0,FALSE
TNT00358,Tenant_358,18 - 25,Trader,200000,300000,5,FALSE
TNT00359,Tenant_359,46 - 60,Student,200000,300000,4,TRUE
TNT00360,Tenant_360,46 - 60,Student,100000,150000,0,FALSE
TNT00361,Tenant_361,26 - 35,Trader,300000,500000,2,TRUE
TNT00362,Tenant_362,18 - 25,Banker,100000,150000,2,TRUE
TNT00363,Tenant_363,46 - 60,Student,150000,200000,3,FALSE
TNT00364,Tenant_364,36 - 45,Trader,300000,500000,1,FALSE
TNT00365,Tenant_365,18 - 25,Banker,150000,200000,3,FALSE
TNT00366,Tenant_366,26 - 35,Trader,200000,300000,4,FALSE
TNT00367,Tenant_367,36 - 45,Student,100000,150000,5,FALSE
TNT00368,Tenant_368,46 - 60,Freelancer,200000,300000,2,FALSE
TNT00369,Tenant_369,46 - 60,Student,100000,150000,3,FALSE
TNT00370,Tenant_370,46 - 60,Student,100000,150000,0,FALSE
TNT00371,Tenant_371,46 - 60,Freelancer,100000,150000,1,FALSE
TNT00372,Tenant_372,26 - 35,Banker,100000,150000,2,TRUE
TNT00373,Tenant_373,36 - 45,Civil Servant,200000,300000,1,FALSE
TNT00374,Tenant_374,18 - 25,Civil Servant,200000,300000,1,FALSE
TNT00375,Tenant_375,46 - 60,Trader,200000,300000,2,FALSE
