Listing_ID,Landlord_ID,Property_Type,Bedrooms,Bathrooms,Location,Monthly_Rent,Service_Charge,Availability_Status,Date_Listed
LST00067,LLD0282,Self-Contain,1,1,Ajah,225017,,Inactive,2025-01-11
LST00068,LLD0324,Self-Contain,1,2,Lekki,68894,0,Rented,2025-03-12
LST00069,LLD0024,Single Room,2,2,Ajah,242185,20000,Rented,2025-02-07
LST00070,LLD0130,Flat,1,1,Lekki,54687,20000,Inactive,2025-04-17
LST00071,LLD0352,Single Room,2,2,Ikeja,446103,20000,Available,2025-03-22
LST00072,LLD0195,Single Room,2,2,Lekki,184115,20000,Rented,2025-03-21
LST00073,LLD0280,Flat,1,1,Ikeja,461231,10000,Rented,2025-04-24
LST00074,LLD0403,Single Room,3,2,Ajah,329933,20000,Rented,2025-04-21
LST00075,LLD0417,Self-Contain,2,2,Ikeja,106784,10000,Inactive,2025-02-16
LST00076,LLD0153,Single Room,3,1,Iyana Ipaja,318259,0,Inactive,2025-03-15
LST00077,LLD0381,Flat,1,1,Surulere,78821,0,Inactive,2025-01-25
LST00078,LLD0132,Self-Contain,3,2,Ajah,72879,0,Inactive,2025-04-01
LST00079,LLD0226,Self-Contain,3,1,Lekki,429321,20000,Available,2025-01-09
LST00080,LLD0188,Single Room,3,1,Surulere,234714,0,Inactive,2025-01-06
LST00081,LLD0475,Single Room,3,1,Yaba,241852,20000,Rented,2025-03-26
LST00082,LLD0476,Self-Contain,1,2,Surulere,99157,20000,Rented,2025-01-30
LST00083,LLD0264,Single Room,1,1,Ajah,298341,,Rented,2025-04-09
LST00084,LLD0371,Flat,3,2,Surulere,213789,20000,Rented,2025-02-07
LST00085,LLD0485,Single Room,1,2,Surulere,110262,,Available,2025-01-11
LST00086,LLD0433,Single Room,1,1,Iyana Ipaja,90971,0,Available,2025-04-20
LST00087,LLD0133,Self-Contain,2,2,Ikeja,413290,20000,Available,2025-01-30
LST00088,LLD0210,Single Room,1,1,Surulere,252112,0,Available,2025-04-21
LST00089,LLD0059,Single Room,3,1,Lekki,171535,20000,Available,2025-01-13
LST00090,LLD0427,Single Room,1,1,Lekki,255257,10000,Available,2025-02-18
LST00091,LLD0376,Flat,1,1,Iyana Ipaja,142384,20000,Inactive,2025-02-05
LST00092,LLD0394,Single Room,1,1,Surulere,244895,10000,Available,2025-02-28
LST00093,LLD0449,Flat,1,2,Surulere,467958,0,Available,2025-03-23
LST00094,LLD0430,Flat,2,2,Iyana Ipaja,162453,20000,Rented,2025-04-17
LST00095,LLD0363,Flat,3,1,Ajah,412421,,Rented,2025-02-16
LST00096,LLD0363,Flat,3,2,Yaba,338664,0,Available,2025-01-21
LST00097,LLD0456,Self-Contain,1,2,Yaba,326977,,Inactive,2025-02-17
LST00098,LLD0212,Flat,1,2,Ikeja,232419,0,Inactive,2025-02-15
LST00099,LLD0215,Single Room,2,2,Lekki,111475,20000,Inactive,2025-01-27
LST00100,LLD0225,Flat,1,1,Ajah,320287,,Inactive,2025-03-27
LST00101,LLD0469,Single Room,2,1,Lekki,401616,0,Available,2025-02-04
LST00102,LLD0130,Flat,3,1,Ajah,414276,10000,Inactive,2025-03-31
LST00103,LLD0075,Self-Contain,3,2,Iyana Ipaja,137005,10000,Available,2025-04-30
LST00104,LLD0475,Flat,2,2,Ikeja,360682,10000,Available,2025-03-29
LST00105,LLD0285,Flat,3,1,Iyana Ipaja,113795,20000,Available,2025-03-24
LST00106,LLD0473,Self-Contain,1,1,Lekki,415185,20000,Available,2025-01-10
LST00107,LLD0495,Flat,1,2,Ikeja,132159,,Available,2025-03-19
LST00108,LLD0276,Single Room,2,1,Surulere,173796,0,Rented,2025-03-23
LST00109,LLD0155,Flat,3,2,Ajah,389310,20000,Available,2025-01-22
LST00110,LLD0247,Flat,3,1,Ajah,198311,10000,Available,2025-03-10
LST00111,LLD0217,Flat,2,1,Ikeja,208312,,Available,2025-04-04
LST00112,LLD0189,Self-Contain,2,2,Iyana Ipaja,151542,0,Rented,2025-02-01
LST00113,LLD0416,Flat,3,1,Ikeja,50553,,Rented,2025-01-21
LST00114,LLD0468,Flat,2,1,Iyana Ipaja,467734,10000,Available,2025-03-01
LST00115,LLD0162,Single Room,1,1,Ikeja,158381,20000,Inactive,2025-02-18
LST00116,LLD0179,Flat,3,1,Iyana Ipaja,325756,10000,Available,2025-02-04
LST00117,LLD0033,Flat,2,1,Yaba,388817,30000,Inactive,2025-04-29
LST00118,LLD0040,Flat,2,1,Ikeja,114459,20000,Inactive,2025-03-23
LST00119,LLD0306,Flat,2,2,Iyana Ipaja,337948,20000,Available,2025-03-30
LST00120,LLD0430,Single Room,3,2,Surulere,91154,20000,Inactive,2025-03-13
LST00121,LLD0337,Single Room,1,2,Lekki,221178,10000,Rented,2025-01-29
LST00122,LLD0313,Self-Contain,1,2,Lekki,279113,0,Available,2025-03-29
LST00123,LLD0074,Flat,3,2,Ikeja,422327,30000,Rented,2025-02-11
LST00124,LLD0440,Self-Contain,2,1,Ikeja,236218,10000,Rented,2025-04-18
LST00125,LLD0278,Self-Contain,3,1,Ajah,190689,30000,Available,2025-04-09
LST00126,LLD0175,Flat,3,2,Iyana Ipaja,196470,20000,Available,2025-04-10
LST00127,LLD0383,Single Room,2,1,Ikeja,307771,10000,Available,2025-01-08
LST00128,LLD0149,Single Room,3,1,Lekki,314837,20000,Rented,2025-01-30
LST00129,LLD0272,Flat,1,1,Lekki,80971,20000,Available,2025-04-16
LST00130,LLD0324,Flat,3,1,Lekki,438777,20000,Rented,2025-01-05
LST00131,LLD0107,Single Room,2,1,Iyana Ipaja,248579,30000,Inactive,2025-04-14
LST00132,LLD0138,Flat,3,2,Yaba,235626,0,Available,2025-02-10
LST00133,LLD0349,Flat,1,2,Ikeja,392222,,Rented,2025-02-21
LST00134,LLD0270,Flat,3,1,Yaba,386371,10000,Available,2025-02-04
LST00135,LLD0346,Single Room,3,2,Iyana Ipaja,391134,30000,Rented,2025-01-09
LST00136,LLD0418,Self-Contain,3,2,Surulere,398178,10000,Rented,2025-01-28
LST00137,LLD0288,Self-Contain,3,2,Ikeja,135567,0,Inactive,2025-04-27
LST00138,LLD0211,Flat,2,2,Ajah,352821,20000,Available,2025-05-01
LST00139,LLD0380,Single Room,1,1,Ikeja,380546,10000,Rented,2025-03-14
LST00140,LLD0271,Flat,1,2,Ikeja,230910,,Available,2025-04-23
LST00141,LLD0417,Single Room,1,1,Ikeja,148104,0,Rented,2025-04-02
LST00142,LLD0065,Flat,3,2,Ikeja,72291,0,Inactive,2025-02-10
LST00143,LLD0482,Single Room,1,2,Surulere,340641,0,Rented,2025-01-28
LST00144,LLD0423,Single Room,2,1,Ikeja,427279,10000,Rented,2025-03-25
LST00145,LLD0247,Self-Contain,3,1,Iyana Ipaja,344113,20000,Available,2025-03-05
LST00146,LLD0155,Flat,3,2,Ikeja,289334,20000,Inactive,2025-02-20
LST00147,LLD0046,Self-Contain,1,2,Surulere,223156,10000,Rented,2025-04-24
LST00148,LLD0422,Self-Contain,3,1,Iyana Ipaja,459893,0,Available,2025-04-28
LST00149,LLD0453,Single Room,3,2,Ikeja,80245,10000,Rented,2025-03-24
LST00150,LLD0200,Flat,1,1,Ikeja,103312,0,Available,2025-02-28
LST00151,LLD0147,Single Room,2,1,Iyana Ipaja,216386,20000,Inactive,2025-01-19
LST00152,LLD0123,Single Room,2,1,Ikeja,58267,20000,Inactive,2025-02-03
LST00153,LLD0000,Single Room,1,2,Surulere,89812,20000,Available,2025-01-18
LST00154,LLD0455,Flat,2,1,Lekki,446991,,Inactive,2025-02-01
LST00155,LLD0246,Flat,2,1,Ikeja,437706,30000,Available,2025-04-06
LST00156,LLD0342,Single Room,2,2,Ajah,389068,10000,Available,2025-03-13
LST00157,LLD0127,Flat,3,1,Iyana Ipaja,256874,10000,Inactive,2025-03-10
LST00158,LLD0190,Single Room,3,2,Surulere,244150,,Inactive,2025-02-03
LST00159,LLD0066,Flat,3,2,Ikeja,75875,20000,Available,2025-04-06
LST00160,LLD0003,Flat,2,1,Ikeja,145803,10000,Available,2025-03-16
LST00161,LLD0441,Self-Contain,3,2,Iyana Ipaja,306679,20000,Inactive,2025-02-24
LST00162,LLD0408,Single Room,2,2,Yaba,359733,,Inactive,2025-04-25
LST00163,LLD0302,Self-Contain,1,2,Surulere,315678,30000,Available,2025-03-16
LST00164,LLD0293,Self-Contain,2,1,Surulere,220952,10000,Available,2025-02-21
LST00165,LLD0142,Single Room,3,1,Lekki,461299,,Available,2025-02-16
LST00166,LLD0190,Single Room,2,1,Lekki,111807,,Inactive,2025-01-29
LST00167,LLD0020,Flat,3,2,Ikeja,363814,10000,Rented,2025-01-18
LST00168,LLD0226,Single Room,3,1,Iyana Ipaja,387609,30000,Available,2025-03-07
LST00169,LLD0312,Self-Contain,1,1,Ajah,366864,30000,Rented,2025-03-05
LST00170,LLD0116,Self-Contain,1,2,Ikeja,223962,0,Inactive,2025-01-12
LST00171,LLD0436,Single Room,3,1,Lekki,482816,20000,Rented,2025-04-07
LST00172,LLD0301,Self-Contain,2,2,Ikeja,222401,10000,Rented,2025-01-07
LST00173,LLD0499,Flat,1,1,Iyana Ipaja,409763,20000,Available,2025-04-21
LST00174,LLD0141,Self-Contain,1,2,Surulere,53739,,Rented,2025-01-15
LST00175,LLD0483,Flat,3,2,Surulere,463973,10000,Inactive,2025-01-20
LST00176,LLD0459,Self-Contain,2,2,Surulere,345251,10000,Available,2025-03-22
LST00177,LLD0400,Flat,1,2,Surulere,446078,,Rented,2025-01-21
LST00178,LLD0038,Flat,1,1,Ajah,132533,,Rented,2025-04-12
LST00179,LLD0392,Single Room,2,2,Yaba,67487,0,Rented,2025-03-29
LST00180,LLD0354,Flat,1,2,Ajah,340497,,Rented,2025-02-24
LST00181,LLD0251,Single Room,2,2,Ikeja,58984,0,Available,2025-03-18
LST00182,LLD0332,Self-Contain,3,2,Lekki,335274,10000,Available,2025-01-09
LST00183,LLD0206,Self-Contain,1,2,Iyana Ipaja,123794,20000,Available,2025-02-19
LST00184,LLD0209,Self-Contain,3,2,Ikeja,218351,20000,Inactive,2025-02-18
LST00185,LLD0114,Flat,2,1,Yaba,90080,20000,Inactive,2025-03-18
LST00186,LLD0224,Self-Contain,3,2,Iyana Ipaja,324983,0,Available,2025-03-01
LST00187,LLD0133,Self-Contain,3,1,Iyana Ipaja,274979,0,Available,2025-03-09
LST00188,LLD0250,Single Room,3,2,Iyana Ipaja,235629,,Inactive,2025-02-02
LST00189,LLD0218,Single Room,2,2,Ikeja,411018,0,Rented,2025-03-12
LST00190,LLD0406,Self-Contain,2,1,Yaba,353643,0,Available,2025-04-21
LST00191,LLD0442,Self-Contain,2,2,Ikeja,442238,30000,Available,2025-05-01
LST00192,LLD0090,Flat,2,2,Iyana Ipaja,448572,20000,Rented,2025-01-02
LST00193,LLD0353,Flat,2,1,Iyana Ipaja,132036,10000,Inactive,2025-03-29
LST00194,LLD0375,Self-Contain,1,1,Lekki,388070,0,Inactive,2025-04-03
LST00195,LLD0045,Single Room,1,1,Ajah,341922,30000,Available,2025-01-15
LST00196,LLD0037,Self-Contain,1,1,Ikeja,155528,,Rented,2025-03-29
LST00197,LLD0141,Flat,3,2,Yaba,375336,0,Inactive,2025-04-24
LST00198,LLD0099,Single Room,3,1,Iyana Ipaja,233255,20000,Rented,2025-03-10
LST00199,LLD0327,Single Room,2,1,Ikeja,135376,10000,Rented,2025-04-07
LST00200,LLD0189,Flat,2,1,Ajah,178219,30000,Available,2025-02-04
LST00201,LLD0034,Self-Contain,1,2,Ikeja,79980,10000,Rented,2025-04-09
LST00202,LLD0146,Self-Contain,2,1,Ajah,216891,20000,Rented,2025-03-24
LST00203,LLD0029,Self-Contain,3,2,Ikeja,64065,20000,Rented,2025-02-13
LST00204,LLD0333,Flat,2,2,Lekki,437505,20000,Rented,2025-01-15
LST00205,LLD0083,Single Room,1,2,Ikeja,322703,30000,Rented,2025-02-07
LST00206,LLD0368,Flat,2,2,Surulere,174514,10000,Available,2025-02-25
LST00207,LLD0280,Self-Contain,3,1,Lekki,123969,30000,Inactive,2025-01-21
LST00208,LLD0423,Flat,1,1,Ajah,189728,10000,Inactive,2025-02-28
LST00209,LLD0343,Single Room,2,2,Iyana Ipaja,93210,0,Rented,2025-01-01
LST00210,LLD0269,Flat,3,1,Iyana Ipaja,243060,10000,Available,2025-04-03
LST00211,LLD0153,Self-Contain,1,1,Ikeja,81477,10000,Available,2025-04-23
LST00212,LLD0101,Single Room,1,1,Yaba,156111,10000,Rented,2025-04-03
LST00213,LLD0214,Flat,3,1,Ikeja,79529,30000,Rented,2025-02-03
LST00214,LLD0149,Flat,2,2,Lekki,330406,20000,Inactive,2025-03-06
LST00215,LLD0431,Single Room,2,1,Lekki,377231,30000,Inactive,2025-04-08
LST00216,LLD0082,Single Room,2,1,Ajah,218721,20000,Inactive,2025-01-23
LST00217,LLD0109,Self-Contain,1,2,Ikeja,497004,10000,Rented,2025-03-06
LST00218,LLD0434,Single Room,1,1,Ajah,101686,0,Inactive,2025-04-27
LST00219,LLD0386,Self-Contain,2,1,Yaba,223937,30000,Available,2025-01-14
LST00220,LLD0425,Flat,1,1,Iyana Ipaja,479793,0,Available,2025-04-22
LST00221,LLD0274,Self-Contain,1,2,Iyana Ipaja,386443,0,Rented,2025-03-22
LST00222,LLD0200,Flat,3,1,Ikeja,268597,0,Rented,2025-02-08
LST00223,LLD0283,Single Room,2,1,Ajah,270725,10000,Inactive,2025-04-18
LST00224,LLD0467,Flat,2,2,Ajah,245399,20000,Available,2025-03-23
LST00225,LLD0172,Single Room,2,1,Yaba,241124,0,Inactive,2025-03-06
LST00226,LLD0326,Flat,1,2,Ajah,425188,20000,Available,2025-03-19
LST00227,LLD0205,Flat,1,2,Surulere,86409,10000,Inactive,2025-01-26
LST00228,LLD0062,Flat,1,2,Surulere,209152,20000,Rented,2025-01-20
LST00229,LLD0072,Flat,2,1,Lekki,209267,30000,Available,2025-02-17
LST00230,LLD0250,Self-Contain,1,1,Surulere,247264,20000,Available,2025-04-08
LST00231,LLD0123,Flat,2,1,Surulere,196681,10000,Available,2025-01-21
LST00232,LLD0374,Self-Contain,1,1,Lekki,69535,10000,Inactive,2025-03-11
LST00233,LLD0120,Single Room,2,1,Surulere,173828,30000,Inactive,2025-04-10
LST00234,LLD0274,Single Room,3,2,Surulere,447326,10000,Inactive,2025-04-29
LST00235,LLD0430,Self-Contain,1,2,Lekki,421662,10000,Available,2025-03-09
LST00236,LLD0499,Single Room,2,2,Ikeja,450423,,Rented,2025-04-28
LST00237,LLD0397,Single Room,3,2,Lekki,243616,,Inactive,2025-01-01
LST00238,LLD0119,Flat,3,1,Lekki,98637,30000,Available,2025-03-18
LST00239,LLD0421,Flat,1,2,Surulere,476290,,Inactive,2025-02-11
LST00240,LLD0436,Flat,2,2,Iyana Ipaja,222736,30000,Available,2025-03-04
LST00241,LLD0316,Self-Contain,1,1,Surulere,267484,20000,Available,2025-01-03
LST00242,LLD0163,Self-Contain,3,2,Ikeja,124405,10000,Inactive,2025-01-15
LST00243,LLD0423,Single Room,1,1,Lekki,93872,,Available,2025-04-29
LST00244,LLD0464,Flat,2,1,Yaba,324329,30000,Inactive,2025-02-16
LST00245,LLD0285,Self-Contain,3,1,Lekki,418850,10000,Available,2025-04-23
LST00246,LLD0264,Self-Contain,1,2,Ikeja,464094,10000,Rented,2025-04-17
LST00247,LLD0319,Flat,1,2,Ajah,313540,0,Rented,2025-04-14
LST00248,LLD0160,Self-Contain,1,2,Surulere,315604,,Rented,2025-02-09
LST00249,LLD0375,Flat,1,2,Iyana Ipaja,414801,20000,Rented,2025-01-31
LST00250,LLD0307,Single Room,1,2,Iyana Ipaja,232386,10000,Inactive,2025-01-08
LST00251,LLD0088,Single Room,3,2,Surulere,488605,10000,Available,2025-01-31
LST00252,LLD0141,Single Room,3,1,Surulere,57676,,Available,2025-04-23
LST00253,LLD0202,Flat,2,1,Ikeja,87312,20000,Rented,2025-03-14
LST00254,LLD0308,Self-Contain,1,2,Lekki,184220,10000,Rented,2025-01-11
LST00255,LLD0226,Single Room,2,2,Yaba,193344,10000,Available,2025-01-11
LST00256,LLD0488,Single Room,3,1,Lekki,247435,0,Available,2025-04-04
LST00257,LLD0442,Single Room,1,1,Lekki,52655,0,Available,2025-03-04
LST00258,LLD0333,Self-Contain,2,1,Yaba,486321,20000,Rented,2025-04-15
LST00259,LLD0221,Self-Contain,1,2,Iyana Ipaja,368007,20000,Available,2025-01-09
LST00260,LLD0040,Flat,1,2,Lekki,111045,10000,Rented,2025-04-08
LST00261,LLD0195,Single Room,2,2,Ajah,357661,20000,Rented,2025-03-10
LST00262,LLD0067,Self-Contain,3,1,Ajah,124227,0,Rented,2025-04-09
LST00263,LLD0475,Flat,2,2,Ikeja,486854,,Available,2025-01-17
LST00264,LLD0263,Single Room,2,2,Ikeja,386933,10000,Rented,2025-01-17
LST00265,LLD0001,Self-Contain,2,2,Yaba,260161,0,Inactive,2025-03-26
LST00266,LLD0360,Self-Contain,1,2,Yaba,104322,0,Available,2025-03-02
LST00267,LLD0124,Flat,3,2,Ikeja,413944,0,Available,2025-03-12
LST00268,LLD0109,Single Room,3,2,Surulere,432926,0,Available,2025-01-22
LST00269,LLD0085,Single Room,1,1,Lekki,447438,10000,Available,2025-02-03
LST00270,LLD0424,Self-Contain,3,2,Surulere,101141,20000,Rented,2025-03-09
LST00271,LLD0119,Single Room,2,1,Iyana Ipaja,60716,10000,Inactive,2025-04-22
LST00272,LLD0126,Flat,3,1,Ajah,110644,10000,Rented,2025-03-19
LST00273,LLD0254,Self-Contain,1,1,Yaba,175650,,Inactive,2025-02-24
LST00274,LLD0182,Self-Contain,3,2,Ikeja,400643,10000,Available,2025-01-28
LST00275,LLD0015,Flat,1,2,Ajah,268496,20000,Rented,2025-04-29
LST00276,LLD0476,Self-Contain,2,2,Surulere,250788,0,Rented,2025-03-11
LST00277,LLD0061,Single Room,1,2,Yaba,182454,0,Rented,2025-04-07
LST00278,LLD0368,Single Room,3,1,Yaba,260970,10000,Inactive,2025-04-04
LST00279,LLD0431,Self-Contain,2,2,Lekki,185239,10000,Inactive,2025-03-30
LST00280,LLD0157,Flat,3,1,Yaba,298926,,Available,2025-01-26
LST00281,LLD0267,Flat,1,2,Iyana Ipaja,167323,0,Rented,2025-04-02
LST00282,LLD0034,Single Room,2,2,Yaba,415993,20000,Available,2025-02-09
LST00283,LLD0266,Flat,1,1,Iyana Ipaja,276895,20000,Inactive,2025-02-21
LST00284,LLD0063,Self-Contain,3,1,Surulere,131117,0,Available,2025-03-27
LST00285,LLD0493,Self-Contain,1,1,Lekki,141730,20000,Rented,2025-03-25
LST00286,LLD0049,Single Room,3,2,Iyana Ipaja,491937,10000,Rented,2025-02-17
LST00287,LLD0468,Single Room,3,1,Surulere,209895,20000,Inactive,2025-02-26
LST00288,LLD0254,Single Room,2,1,Ajah,110972,30000,Inactive,2025-04-26
LST00289,LLD0148,Flat,2,1,Yaba,124963,10000,Available,2025-03-08
LST00290,LLD0324,Self-Contain,1,2,Ikeja,104534,10000,Rented,2025-02-27
LST00291,LLD0303,Self-Contain,3,1,Ikeja,479967,10000,Available,2025-01-16
LST00292,LLD0275,Self-Contain,3,1,Iyana Ipaja,428237,10000,Inactive,2025-02-01
LST00293,LLD0356,Single Room,2,2,Lekki,336265,0,Inactive,2025-01-29
LST00294,LLD0450,Self-Contain,2,1,Iyana Ipaja,121736,,Available,2025-01-09
LST00295,LLD0171,Flat,2,1,Surulere,261369,10000,Rented,2025-02-13
LST00296,LLD0416,Flat,2,1,Surulere,203198,0,Inactive,2025-01-03
LST00297,LLD0200,Self-Contain,1,2,Iyana Ipaja,111581,0,Available,2025-03-17
LST00298,LLD0444,Single Room,1,1,Iyana Ipaja,269703,10000,Rented,2025-03-12
LST00299,LLD0392,Self-Contain,1,1,Ajah,338267,0,Available,2025-01-30
LST00300,LLD0323,Flat,1,1,Surulere,101036,10000,Inactive,2025-03-17
LST00301,LLD0034,Flat,2,1,Ajah,442206,0,Rented,2025-01-29
LST00302,LLD0464,Flat,1,1,Iyana Ipaja,390999,0,Inactive,2025-01-01
LST00303,LLD0481,Self-Contain,1,1,Lekki,196662,20000,Inactive,2025-01-10
LST00304,LLD0215,Flat,1,1,Yaba,489481,,Inactive,2025-04-01
LST00305,LLD0479,Single Room,2,2,Surulere,235396,10000,Inactive,2025-03-22
LST00306,LLD0064,Self-Contain,3,2,Ikeja,248792,30000,Inactive,2025-01-08
LST00307,LLD0007,Self-Contain,2,2,Ajah,72701,0,Available,2025-01-30
LST00308,LLD0300,Flat,3,1,Surulere,253611,20000,Inactive,2025-01-09
LST00309,LLD0342,Flat,3,2,Yaba,353322,0,Inactive,2025-04-26
LST00310,LLD0430,Single Room,1,1,Ajah,155734,30000,Inactive,2025-01-05
LST00311,LLD0423,Self-Contain,1,1,Surulere,349262,30000,Rented,2025-04-21
LST00312,LLD0331,Flat,1,1,Ajah,75387,20000,Inactive,2025-02-12
LST00313,LLD0437,Single Room,2,2,Ajah,107613,30000,Rented,2025-01-10
LST00314,LLD0075,Flat,2,2,Iyana Ipaja,358810,20000,Available,2025-03-07
LST00315,LLD0173,Self-Contain,1,1,Iyana Ipaja,220207,10000,Inactive,2025-01-31
LST00316,LLD0046,Flat,2,1,Ajah,79554,20000,Available,2025-02-05
LST00317,LLD0014,Self-Contain,2,2,Ajah,431531,10000,Available,2025-03-27
LST00318,LLD0360,Flat,3,2,Ikeja,274389,0,Inactive,2025-03-04
LST00319,LLD0146,Self-Contain,2,2,Yaba,92146,10000,Available,2025-01-28
LST00320,LLD0025,Single Room,3,2,Yaba,150037,20000,Inactive,2025-03-11
LST00321,LLD0307,Self-Contain,1,2,Lekki,456204,0,Available,2025-01-17
LST00322,LLD0092,Single Room,2,2,Lekki,233191,20000,Rented,2025-04-03
